ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
025-41-7983|4362792463200|Steven|Mckee|M|6775 Steven Mall Apt. 321|Oakfield|NY|14125|43.0717|-78.2702|3782|Hotel manager|1946-09-17|57441045710|adults_50up_male_urban.json
477-50-7101|2720458870715534|Emily|Hunter|F|28400 Crystal Landing|Mishawaka|IN|46544|41.6507|-86.1623|55841|Aeronautical engineer|1935-12-05|444307317250|adults_50up_female_urban.json
818-79-7542|374508917768087|Nicholas|Knight|M|65742 Kathleen Flat|Bahama|NC|27503|36.1566|-78.8903|3471|Chief Financial Officer|1939-05-14|423556250187|adults_50up_male_urban.json
404-29-0687|570236936268|Kimberly|Scott|F|12047 Jeffery Expressway|Los Angeles|CA|90033|34.0487|-118.2084|2383912|Research officer, political party|1997-05-20|86389990188|adults_2550_female_urban.json
471-44-6097|30498855829842|Robert|Osborne|M|06745 Porter Stream|Winston Salem|NC|27107|36.0403|-80.1933|250944|Ophthalmologist|1980-10-11|328958815917|adults_2550_male_urban.json
110-19-9094|4372188566698|Gary|Miller|M|715 Ryan Via|Portland|OR|97223|45.4403|-122.7793|841711|Podiatrist|1959-10-06|455928155661|adults_50up_male_urban.json
032-43-6069|2263776936634396|Robert|Rogers|M|611 Christopher Street Apt. 286|Monroe|MI|48162|41.9293|-83.4448|55814|Research officer, government|1990-02-06|102635035220|adults_2550_male_urban.json
664-20-0842|675920245593|Anita|Martin|F|1091 Christina View Apt. 267|Jackson|MS|39218|32.2287|-90.1591|233060|Clinical cytogeneticist|1970-09-23|649688236563|adults_50up_female_urban.json
631-68-1175|3521794281793408|James|Morgan|M|775 Carter Squares|Colorado Springs|CO|80902|38.7536|-104.8063|525713|Oncologist|1953-11-30|886558428731|adults_50up_male_urban.json
814-40-5352|4722010912173|Beth|Sharp|F|5937 Ortiz Row Suite 370|Hialeah|FL|33010|25.8325|-80.2808|347944|Medical physicist|2003-01-01|430169024956|young_adults_female_urban.json
354-09-0802|639046277658|Jerry|Cabrera|M|592 Misty Expressway Suite 617|Chester|NJ|07930|40.7892|-74.6776|8559|Lecturer, higher education|1977-07-07|43586048731|adults_2550_male_urban.json
246-66-9895|30432600559552|April|Webb|F|25848 Preston Ramp|Eau Claire|WI|54701|44.784|-91.4877|81075|Video editor|1991-10-10|673994521359|adults_2550_female_urban.json
446-99-0646|30487045069179|Ronald|Butler|M|935 Shannon Hills Apt. 394|Bloomington|IN|47403|39.1263|-86.5769|126925|Nutritional therapist|2001-09-10|5434705218|young_adults_male_urban.json
235-06-3634|30360601488606|Kathryn|Cisneros|F|079 Amanda Plaza Suite 136|Cedar Falls|IA|50613|42.5241|-92.4497|42031|Surveyor, mining|1965-01-21|363894201816|adults_50up_female_urban.json
559-84-3282|676361537019|Carlos|Curry|M|44626 Jessica Lake Apt. 448|San Jose|CA|95132|37.4031|-121.8585|973849|Sports therapist|1976-01-11|75759025239|adults_2550_male_urban.json
160-16-0055|4421751887815|John|Mendez|M|1526 Amy Glen|Carthage|NC|28327|35.3061|-79.3969|15433|Adult nurse|1982-08-05|883132644129|adults_2550_male_urban.json
065-21-2389|348837505661864|Daniel|Lee|M|137 Hughes Row Suite 300|Riverside|CA|92503|33.9208|-117.4589|419138|Production manager|1936-12-10|807799729|adults_50up_male_urban.json
364-03-6104|4605712198819279|Kathleen|Ferrell|F|90534 Carter Walks Apt. 042|Cary|NC|27519|35.8072|-78.887|131592|Further education lecturer|2006-06-05|420115203970|young_adults_female_urban.json
288-44-6751|2651744600452123|Tara|Morrison|F|1145 Beasley Falls|Hot Springs|SD|57747|43.4223|-103.4766|5870|Technical author|1953-03-16|640861993612|adults_50up_female_urban.json
238-07-4531|4898484160461540213|Anna|Duffy|F|70756 Joseph Ramp|Saint Paul|MN|55128|44.9913|-92.9487|753116|Surveyor, mining|1985-09-06|875722462134|adults_2550_female_urban.json
084-43-2759|4073228360849377|Kimberly|Brown|F|638 Cooper Lodge|East Hampton|CT|06424|41.5761|-72.5093|12808|Therapeutic radiographer|1977-06-03|316016528332|adults_2550_female_urban.json
256-79-2043|3549701693429297|Bryan|Lambert|M|033 Jessica Spur|Atoka|TN|38004|35.4213|-89.8216|9866|Nutritional therapist|1969-03-01|301584596298|adults_50up_male_urban.json
589-01-3444|3506153722155660|Matthew|Becker|M|323 Gomez Ways Apt. 774|San Antonio|TX|78209|29.4821|-98.4554|1595797|Press sub|1958-10-31|275088074422|adults_50up_male_urban.json
444-60-2599|639007843613|Stanley|Taylor|M|60781 Bailey Row Apt. 734|Sterling Heights|MI|48310|42.5648|-83.0701|129683|Publishing rights manager|1976-02-07|429339998412|adults_2550_male_urban.json
165-62-3614|30203763882143|Michelle|Boyd|F|8460 Ashley Coves|Conshohocken|PA|19428|40.0825|-75.3044|16580|Financial controller|2002-03-04|313097857408|young_adults_female_urban.json
830-32-9109|3578020586950739|Cody|Oconnor|M|4936 Davis Mountains Apt. 350|Woodbridge|VA|22191|38.6356|-77.2683|184039|Legal secretary|1966-07-29|516928866255|adults_50up_male_urban.json
546-43-8080|4801192360375|Jennifer|Ferrell|F|87233 Nathan Camp|New York City|NY|10024|40.7864|-73.9764|1577385|Furniture conservator/restorer|1959-03-16|449199890446|adults_50up_female_urban.json
288-83-9645|30315391149834|Amanda|Barker|F|073 Clay Courts|Woodbine|MD|21797|39.3464|-77.0647|8839|Chartered management accountant|1943-02-03|642113504094|adults_50up_female_urban.json
590-36-0002|6557820190432232|Omar|Oconnor|M|32470 Perez Dale|Beltsville|MD|20705|39.0455|-76.9242|26188|Ambulance person|1963-10-21|795075224310|adults_50up_male_urban.json
210-47-4909|4212760250826117|Phillip|Lewis|M|1632 Reeves Station|Kingsport|TN|37663|36.4715|-82.4834|87124|Surveyor, building control|1961-08-20|746825357308|adults_50up_male_urban.json
606-75-5408|30298937629743|Ethan|Obrien|M|64687 Nancy Crescent|Jacksonville|FL|32210|30.2687|-81.7473|847415|Computer games developer|2003-01-23|59703614299|young_adults_male_urban.json
755-90-8742|2707692082832300|Jordan|Lawson|M|88158 Jordan Isle|Wallingford|CT|06492|41.46|-72.8222|45241|Stage manager|1940-10-26|906822987884|adults_50up_male_urban.json
046-55-8037|4318297168157|Julia|Maldonado|F|00000 Marcus Throughway Apt. 137|Darien|CT|06820|41.0768|-73.4853|20732|Chief Technology Officer|1977-01-24|860878859875|adults_2550_female_urban.json
664-48-0938|4255618444218294|Michael|Fernandez|M|8122 Mason Turnpike Apt. 567|Johnstown|PA|15906|40.3522|-78.9383|71292|Architect|2000-05-04|478919535407|adults_2550_male_urban.json
027-06-9818|501843655157|Misty|Hill|F|6913 Hernandez Grove|Tyler|TX|75704|32.3738|-95.407|144160|Sales promotion account executive|1980-11-25|405108360912|adults_2550_female_urban.json
051-47-5082|4080706336998791|Heather|Lutz|F|10401 King Pines|Billings|MT|59101|45.7745|-108.5005|128125|Company secretary|1998-07-02|613708757318|adults_2550_female_urban.json
757-01-4287|4287738363816431|Christopher|Jones|M|428 Russell Estate Apt. 362|Cohoes|NY|12047|42.7754|-73.7124|19664|Merchandiser, retail|1982-01-03|797670987632|adults_2550_male_urban.json
442-28-1706|4170646255402635582|Melinda|Carter|F|176 Jenkins Harbors|Monticello|KY|42633|36.8674|-84.8254|20065|Horticultural therapist|1971-12-22|633563425466|adults_50up_female_urban.json
518-03-3701|3553888245279057|Andrew|Mcdaniel|M|3333 Lee Pine|Houston|TX|77008|29.7991|-95.4118|2906700|Furniture designer|1971-01-17|346119051553|adults_50up_male_urban.json
126-51-3636|4119787180933915|Mark|Gonzalez|M|65306 Jennifer Corner|Indianapolis|IN|46226|39.8326|-86.0836|910148|Veterinary surgeon|1976-02-13|557320769935|adults_2550_male_urban.json
777-42-6379|2486880023009156|Peggy|Rodriguez|F|803 Cook Route|Wise|VA|24293|36.975|-82.5947|10791|Research scientist (medical)|1990-11-24|799997303737|adults_2550_female_urban.json
843-77-1962|3509365952014915|Robert|Pitts|M|84336 Cooper Burg Apt. 632|Des Plaines|IL|60016|42.0467|-87.8859|89789|Designer, industrial/product|1975-08-26|240267343088|adults_2550_male_urban.json
617-65-2423|2247455611404281|Kimberly|Shepard|F|0537 Patterson Turnpike|East Stroudsburg|PA|18301|41.0367|-75.1735|45923|Armed forces training and education officer|1996-08-21|762439756486|adults_2550_female_urban.json
120-96-2111|6011030835669103|Jasmine|Cohen|F|3123 Merritt Knolls|Knoxville|TN|37920|35.8929|-83.9387|391389|Associate Professor|1989-04-07|475957098855|adults_2550_female_urban.json
564-24-7148|3577682938440130|Eric|Spencer|M|54378 Rick Forest Apt. 591|Rockland|MA|02370|42.1293|-70.9133|17489|Astronomer|1945-04-27|730584565976|adults_50up_male_urban.json
463-89-0296|3585991449207494|Renee|Powell|F|964 Davis Pike Suite 285|Santa Cruz|CA|95064|36.9959|-122.0578|97900|TEFL teacher|1999-08-10|701729361186|adults_2550_female_urban.json
255-19-5413|3540849932312342|Richard|Parsons|M|9806 Veronica Mountains Apt. 617|Canton|OH|44705|40.8259|-81.3399|192805|Pensions consultant|2002-05-09|983428722963|young_adults_male_urban.json
658-57-2850|3548389359538287|Peter|Huff|M|56129 Peterson Plaza Apt. 695|Tulsa|OK|74133|36.0467|-95.8841|413574|Sport and exercise psychologist|1978-01-14|161819568070|adults_2550_male_urban.json
677-35-1532|180096561308768|Brett|Rivas|M|85951 Bridges Trail|Woodhaven|NY|11421|40.6913|-73.8585|39127|Geologist, engineering|1960-10-09|594417763558|adults_50up_male_urban.json
247-76-5092|180000273008690|Jeanette|Mcclure|F|16831 Elizabeth Via|Merced|CA|95341|37.2308|-120.5144|97703|Veterinary surgeon|2006-01-25|903381263204|young_adults_female_urban.json
050-09-6148|213194149150769|Patricia|Roy|F|762 Jessica Forges|Richmond|VA|23220|37.5498|-77.4588|536907|Health service manager|2005-11-12|18340032237|young_adults_female_urban.json
452-57-9812|4207266292508177606|Vicki|Cunningham|F|0688 Jones Fields|Clinton Township|MI|48035|42.5512|-82.9167|96825|Engineer, civil (contracting)|1963-11-06|499086652079|adults_50up_female_urban.json
092-17-5148|343561781703217|Angela|Martin|F|36385 Taylor Plains Suite 613|Brattleboro|VT|05301|42.8574|-72.5933|16820|Engineering geologist|1948-11-24|83526330772|adults_50up_female_urban.json
559-38-5032|4295026480164403731|Michael|Collier|M|8127 Contreras Extension Apt. 102|New York City|NY|10002|40.7152|-73.9877|1577385|Chief Executive Officer|2004-09-22|540642672764|young_adults_male_urban.json
550-24-1677|4486298579736385|Dana|Wilson|F|560 Perez Terrace|Bloomfield|NM|87413|36.6955|-107.9784|16792|Production assistant, television|1942-01-15|815870988459|adults_50up_female_urban.json
505-90-9644|180061770673683|Richard|Thomas|M|0682 Donna Extension|Waterford|CT|06385|41.3469|-72.1458|15893|Education administrator|2000-10-11|692451413105|young_adults_male_urban.json
336-87-2609|2295058714692181|Matthew|Giles|M|259 Novak Throughway|Hemet|CA|92545|33.7399|-117.0151|117746|Therapist, music|1995-11-19|47050899490|adults_2550_male_urban.json
605-69-4400|4998480220509|Tiffany|Holt|F|869 Romero Highway|Oroville|CA|95965|39.6054|-121.5751|51027|Conservator, furniture|1967-12-20|967648131420|adults_50up_female_urban.json
346-95-9990|213114578870711|Heather|White|F|6738 Anthony Ridges Suite 461|Jamesville|NY|13078|42.983|-76.0766|9866|Visual merchandiser|1953-08-09|790546631667|adults_50up_female_urban.json
680-60-8109|3568299687225892|Christina|Gamble|F|858 Raymond Ferry|Queen Creek|AZ|85143|33.1598|-111.5618|120596|Field seismologist|1994-05-12|57418047330|adults_2550_female_urban.json
276-04-5905|6595790012482554|Derrick|White|M|9632 Serrano Ridge Suite 232|San Francisco|CA|94118|37.7812|-122.4614|805301|Site engineer|1972-08-31|634535721783|adults_50up_male_urban.json
809-51-3641|4562415285720|Thomas|Cooper|M|269 Miranda Forges|Hamburg|NY|14075|42.7334|-78.8389|41937|Lobbyist|1992-02-28|667995150787|adults_2550_male_urban.json
379-14-3663|213186550784680|Frederick|Bishop|M|443 James Road Apt. 891|Rehoboth Beach|DE|19971|38.6298|-75.32|12385|Clinical scientist, histocompatibility and immunogenetics|1992-05-10|532206063817|adults_2550_male_urban.json
496-22-0769|4934015364157|Elaine|Rodriguez|F|13259 Lisa Mountains Apt. 367|Sharon|PA|16146|41.2316|-80.4993|14040|Investment analyst|1971-05-19|17376545057|adults_50up_female_urban.json
273-20-1788|4052769819878092700|Devon|Anderson|M|2258 Butler Islands Suite 787|Georgetown|SC|29440|33.4308|-79.3235|28469|Health service manager|1995-02-13|946175497846|adults_2550_male_urban.json
142-64-5536|180048596559428|Kathryn|Torres|F|65020 Brad Unions|Amherstdale|WV|25607|37.7959|-81.7833|1140|Information systems manager|1939-09-13|701679560019|adults_50up_female_rural.json
601-83-3803|2242155130557081|Damon|Schultz|M|144 Rosales Pine|Chula Vista|CA|91911|32.6084|-117.0565|239879|Warehouse manager|1978-10-24|422552057652|adults_2550_male_urban.json
635-92-8039|4367746202582547|Christine|Benjamin|F|81231 James Divide|Waterloo|NE|68069|41.2702|-96.3063|2558|Actor|1997-12-14|337700015468|adults_2550_female_urban.json
095-08-6180|3518364723875083|Christopher|Ruiz|M|722 Castillo Islands|Redwood City|CA|94061|37.4647|-122.2304|104429|Gaffer|1958-03-26|615740201331|adults_50up_male_urban.json
273-62-2223|6011905291876831|Monica|Long|F|717 Bryan Spur|La Crosse|WI|54603|43.8487|-91.2484|63587|Engineer, structural|1963-05-11|486183087478|adults_50up_female_urban.json
746-28-9249|4052229993621659|Mary|Richards|F|88232 Valdez Squares Apt. 983|Staten Island|NY|10302|40.6306|-74.1379|468730|IT consultant|1934-05-26|293380889853|adults_50up_female_urban.json
126-63-7587|3532643095449797|Michelle|Wilson|F|970 Ashley Mill Apt. 205|Missouri City|TX|77459|29.5704|-95.5423|91828|Fine artist|1974-03-21|990706020898|adults_50up_female_urban.json
480-98-8635|30137529883229|Alyssa|Leonard|F|56083 Benjamin Cape|Sioux Falls|SD|57104|43.5514|-96.7375|161141|Geochemist|1974-04-10|608858844959|adults_50up_female_urban.json
622-88-7629|180053585238604|Robert|Nielsen|M|04436 Lisa Walk|Baltimore|MD|21206|39.3365|-76.5411|635495|Teacher, secondary school|1975-08-20|121636626916|adults_2550_male_urban.json
069-45-2671|4029295014372|Donald|Parrish|M|93096 Miller Spur|Newnan|GA|30263|33.3696|-84.8194|84721|Therapist, horticultural|1974-08-29|100931152672|adults_50up_male_urban.json
118-19-6518|676322132173|Jason|Goodwin|M|19111 Powell Curve|La Puente|CA|91744|34.0289|-117.9373|115525|Education officer, community|1973-09-16|129028768085|adults_50up_male_urban.json
739-05-7316|4873393049366532|Kimberly|Guerrero|F|481 Kathy Haven Apt. 114|Baton Rouge|LA|70810|30.3633|-91.0919|378909|Advice worker|1964-01-04|613277680107|adults_50up_female_urban.json
405-81-8599|4095229462093553|Nathan|Franco|M|039 Anderson Square|Rosedale|NY|11422|40.6621|-73.7353|30425|Television production assistant|1971-03-29|904075832780|adults_50up_male_urban.json
795-13-3750|30124365858564|Elizabeth|Bradshaw|F|41202 Conrad Manors|Hyde Park|NY|12538|41.7887|-73.9063|14578|Community pharmacist|1965-07-31|675863881611|adults_50up_female_urban.json
491-30-9135|30402990716690|Alex|Perez|M|8155 Benton Estate|Newburgh|NY|12550|41.5372|-74.0526|54447|Actor|1969-07-05|769751928231|adults_50up_male_urban.json
888-37-0531|4109567975649|Marcus|Wood|M|4623 Mendoza Coves Apt. 476|Bronx|NY|10473|40.8194|-73.8606|1382480|Accountant, chartered|1991-03-02|47719492861|adults_2550_male_urban.json
061-99-1942|213103068317648|Phillip|Davis|M|8080 Lisa Skyway|Bellingham|WA|98229|48.6952|-122.4124|117728|Medical technical officer|1967-11-18|117887236764|adults_50up_male_urban.json
607-04-1773|347138067130732|Evelyn|Novak|F|8474 Laurie Extensions Apt. 300|Corvallis|OR|97330|44.5904|-123.2722|65257|Systems analyst|1978-01-14|199437219108|adults_2550_female_urban.json
545-68-5822|36694703180537|Zoe|Lara|F|627 Massey Lock|Dearborn|MI|48126|42.3349|-83.1801|98153|Press sub|1978-11-15|166744344580|adults_2550_female_urban.json
362-75-1050|213127000466619|Eric|Rivera|M|10797 Martinez Glen|Springfield|MO|65804|37.1654|-93.2522|219752|Applications developer|1989-09-07|820423140435|adults_2550_male_urban.json
269-75-3866|213194905315200|Dawn|Lynch|F|497 Logan Pines|San Pedro|CA|90731|33.7339|-118.2914|80777|Research officer, government|1963-04-16|247557111436|adults_50up_female_urban.json
067-26-7590|3516698416612374|Dustin|Williams|M|433 Kathleen Mews Apt. 389|Old Hickory|TN|37138|36.2416|-86.6117|22191|Therapist, nutritional|1974-01-18|641191827393|adults_50up_male_urban.json
117-79-7309|502042620372|Amber|Murray|F|16020 Davis Plains|Rancho Santa Margarita|CA|92688|33.6512|-117.5938|43792|Charity officer|1985-05-05|404737148249|adults_2550_female_urban.json
719-97-9365|180021170889487|Amanda|Hoover|F|644 Eugene Crest|Milan|MO|63556|40.1844|-93.1361|3779|Production engineer|1994-04-14|970434130050|adults_2550_female_urban.json
535-66-3820|3585708200480676|Francisco|Estrada|M|69149 Davis Rue|Galesburg|IL|61401|40.9521|-90.3698|34788|Chartered accountant|2002-02-11|175810829831|young_adults_male_urban.json
512-87-9674|4968827697040953141|Summer|Davis|F|56078 Gregory Haven Apt. 565|Raleigh|NC|27603|35.7076|-78.6563|489514|Clinical biochemist|1944-05-20|637631873395|adults_50up_female_urban.json
687-83-6524|4096496683496043|Jesse|Edwards|M|0285 Paul Estate|Roopville|GA|30170|33.4322|-85.1671|2994|Market researcher|1967-05-30|835714725252|adults_50up_male_urban.json
846-81-6663|4089348688390624676|Brittany|Archer|F|916 Cindy Circles Apt. 413|Midlothian|TX|76065|32.4757|-96.9936|28986|Clinical scientist, histocompatibility and immunogenetics|1969-04-09|986066500253|adults_50up_female_urban.json
255-46-9826|4361337605230458|Justin|Davis|M|025 Christensen Park Apt. 419|Center Point|LA|71323|31.2631|-92.1879|989|Chief Strategy Officer|1962-08-29|349734538563|adults_50up_male_rural.json
033-25-4738|4966177182498980888|Tyler|Blair|M|8214 Scott Loop Apt. 359|Canal Winchester|OH|43110|39.8349|-82.8044|33847|Electrical engineer|1981-02-15|433444305880|adults_2550_male_urban.json
386-34-8945|6011969874869415|Erin|Chapman|F|011 Jennifer Springs Apt. 075|El Cajon|CA|92020|32.7928|-116.9665|165433|Fine artist|1973-04-26|976596062877|adults_50up_female_urban.json
046-45-1858|2516039886365361|William|Holland|M|945 Greene Light|Waldwick|NJ|07463|41.013|-74.1243|9615|Radiographer, diagnostic|2006-08-22|51572585751|young_adults_male_urban.json
609-84-9379|4489420466489667606|Erin|Graham|F|45657 Morgan Burgs|Laguna Beach|CA|92651|33.5429|-117.7813|23881|Teacher, English as a foreign language|1962-11-03|860928862867|adults_50up_female_urban.json
787-41-3617|4623546622650|Michael|Brown|M|599 Perez Center Apt. 622|Foxworth|MS|39483|31.2473|-89.9311|6447|Commissioning editor|1973-07-01|163959980994|adults_50up_male_urban.json
186-98-7405|6574625916011247|Michelle|Garcia|F|488 Holder Avenue Apt. 179|San Antonio|TX|78258|29.6562|-98.4967|1595797|Scientist, clinical (histocompatibility and immunogenetics)|1956-01-03|438009262556|adults_50up_female_urban.json
729-64-9156|4129957047264261|Billy|Cross|M|38437 Perez Key|Hacienda Heights|CA|91745|33.9977|-117.9652|54013|Theatre stage manager|1951-05-16|424039957450|adults_50up_male_urban.json
050-60-9079|345482421838545|Heidi|Goodwin|F|06445 Pearson Junction Apt. 311|Stafford|VA|22556|38.4718|-77.5102|77138|Counselling psychologist|1963-02-10|214509840951|adults_50up_female_urban.json
731-58-4678|180091776334279|Christopher|Lee|M|217 Klein Shoal Apt. 196|Bakersfield|CA|93312|35.3935|-119.1205|520197|Fine artist|1970-03-30|46500329163|adults_50up_male_urban.json
337-92-3185|630493588242|Lori|Perez|F|0018 Jennifer Locks|Monroe City|MO|63456|39.6546|-91.723|4271|Prison officer|1994-09-03|556087328564|adults_2550_female_urban.json
527-09-6963|344445446083851|Melissa|Alvarez|F|8105 Dawn Crossing|Coloma|MI|49038|42.203|-86.3225|9310|Data processing manager|1999-10-01|500521018395|adults_2550_female_urban.json
525-85-4186|180099969882905|Eric|Galloway|M|271 Franco Springs Apt. 463|Salt Lake City|UT|84118|40.6504|-112.0054|594043|Animator|1985-02-02|97969165375|adults_2550_male_urban.json
613-70-6248|3524238397283398|Ricky|Hernandez|M|870 Mora Estate|Houston|TX|77035|29.6518|-95.4854|2906700|Tax adviser|1961-10-19|567676146076|adults_50up_male_urban.json
051-92-9472|213122101023203|Alan|Holt|M|6610 William Roads Suite 610|Philadelphia|PA|19122|39.978|-75.1459|1526206|Sports development officer|1996-07-06|898007273115|adults_2550_male_urban.json
194-48-6287|2260384531980745|Jason|Potter|M|54695 Austin Flat|Richmond|VA|23227|37.6247|-77.4351|536907|Adult guidance worker|1959-01-19|916791023343|adults_50up_male_urban.json
187-01-6064|4967150066664110652|Elizabeth|Miller|F|340 Weaver Courts|Tacoma|WA|98408|47.2073|-122.4444|323239|Oceanographer|1973-10-03|900285783712|adults_50up_female_urban.json
276-99-7692|676190583663|Joshua|Phillips|M|8999 Moore Rest|Wilmington|DE|19809|39.7647|-75.5069|215619|Psychiatric nurse|1975-02-15|16256071727|adults_50up_male_urban.json
240-70-7102|213178791505966|Catherine|Chavez|F|760 David Corners|Norfolk|MA|02056|42.1177|-71.3269|10981|Consulting civil engineer|1946-12-18|968221405116|adults_50up_female_urban.json
783-46-7448|4604180952175588|Ernest|Bernard|M|7412 Phillips Rapids Apt. 118|Independence|IA|50644|42.4674|-91.8803|8648|Structural engineer|1996-11-14|305563959744|adults_2550_male_urban.json
624-92-9703|6011642229758910|Jerry|Shepherd|M|542 Madeline Key Suite 570|North Hollywood|CA|91606|34.1872|-118.3865|155954|Investment banker, operational|1984-02-16|856567308024|adults_2550_male_urban.json
130-01-9470|4570900163564076|Christopher|Wilcox|M|2828 Clay Turnpike Suite 001|Tampa|FL|33647|28.1147|-82.3678|717255|Radiographer, diagnostic|2006-03-17|715198687055|young_adults_male_urban.json
188-21-4290|3531261685071052|Tommy|May|M|19509 Megan Valley|Duncan|OK|73533|34.5073|-97.9403|28434|Clinical embryologist|1966-07-31|897566796191|adults_50up_male_urban.json
089-41-3047|6011053709230075|Andrea|Jordan|F|007 Escobar Village Apt. 894|Shawnee Mission|KS|66215|38.949|-94.7405|370212|Surveyor, planning and development|1957-05-09|359537624411|adults_50up_female_urban.json
301-30-2308|3569893652944716|Jennifer|Oconnor|F|3481 Rachel Stream|Oklahoma City|OK|73159|35.3922|-97.5567|640470|Building services engineer|1984-10-15|283620405974|adults_2550_female_urban.json
047-20-5764|180032174357488|Pamela|Colon|F|68064 Williams Meadow Suite 398|Paxinos|PA|17860|40.8448|-76.635|1994|English as a foreign language teacher|1966-04-22|790229857846|adults_50up_female_rural.json
307-70-8248|4253646280553|Anthony|Velasquez|M|065 Harvey Knoll Apt. 562|Los Angeles|CA|90003|33.9653|-118.2727|2383912|Engineer, land|1973-07-20|199993309811|adults_50up_male_urban.json
845-02-9734|676155107409|Maxwell|Greene|M|11786 Carolyn Spur|Yuma|AZ|85365|32.7093|-114.4905|141891|Advertising account executive|1970-10-23|361388530717|adults_50up_male_urban.json
722-57-6375|676322069532|Ethan|Gillespie|M|120 Elizabeth Falls Suite 595|Walker|LA|70785|30.5247|-90.8557|20979|Barrister's clerk|1964-01-13|171844114029|adults_50up_male_urban.json
778-90-0832|2271532594795072|Douglas|Blanchard|M|73279 Sarah Station Suite 031|San Francisco|CA|94109|37.7917|-122.4186|805301|Art therapist|1962-03-18|315219119221|adults_50up_male_urban.json
637-28-4982|3539104520360896|Melissa|Wolf|F|84913 Gilmore Ridges|Olney|TX|76374|33.3601|-98.7427|4162|Ecologist|1963-01-20|601122954263|adults_50up_female_urban.json
355-98-3992|372056100679903|Mathew|Sanders|M|018 Love Neck Suite 037|Walnut Creek|CA|94596|37.9053|-122.0549|82557|Restaurant manager, fast food|1993-03-21|761356207652|adults_2550_male_urban.json
129-92-3569|4944953006776257|Erin|Robinson|F|17365 Anderson Lock Apt. 417|Fayetteville|NC|28305|35.056|-78.9047|238602|Soil scientist|1982-02-22|202957696746|adults_2550_female_urban.json
063-81-3061|4334511009060539|Aaron|Duran|M|430 Olivia Crescent Apt. 667|Saint Louis|MO|63104|38.6128|-90.2185|927396|English as a second language teacher|2005-10-22|149441575929|young_adults_male_urban.json
007-37-5481|30598875921295|Nancy|Wise|F|60336 Laura Square Apt. 755|Leesville|SC|29070|33.9132|-81.4598|15330|Scientist, research (life sciences)|1979-12-19|82405555868|adults_2550_female_urban.json
474-60-0405|3507115238023624|Brett|Pope|M|58189 Sharp Spur|Houston|TX|77015|29.7853|-95.1852|2906700|Medical secretary|1949-09-14|105508205498|adults_50up_male_urban.json
109-99-1837|180038558819597|Nicole|Vaughn|F|16880 Karen Trail Suite 378|San Marcos|CA|92069|33.1444|-117.1697|89275|Trade mark attorney|1932-10-04|239908627265|adults_50up_female_urban.json
561-49-9973|4284540182272009|Christopher|Lewis|M|232 Brian Corners Suite 474|Oak Ridge|TN|37830|36.0159|-84.2623|29700|Engineer, mining|1985-04-14|144874152907|adults_2550_male_urban.json
766-15-1082|6599302020304238|Sarah|Anderson|F|5213 Robbins Canyon Apt. 816|Kaufman|TX|75142|32.546|-96.2852|18982|Legal executive|1976-11-10|55346391189|adults_2550_female_urban.json
260-51-3229|676305937770|Heather|Leach|F|832 Gabriela Run|Camden|NJ|08104|39.9186|-75.1078|75683|Designer, television/film set|1984-11-07|661384884419|adults_2550_female_urban.json
426-88-1213|30469029831048|David|Sanford|M|96622 Laurie Flats Apt. 670|Star|ID|83669|43.7013|-116.4967|7365|Retail banker|1999-01-19|399671948790|adults_2550_male_urban.json
571-48-6844|6506362198655045|Kevin|Maxwell|M|0766 Gail Rapids Apt. 396|Houston|TX|77086|29.9227|-95.4939|2906700|Local government officer|1961-10-22|330749144229|adults_50up_male_urban.json
620-49-2741|30322626114245|Daniel|Jenkins|M|585 Nunez Courts|Shickshinny|PA|18655|41.1513|-76.1081|6278|Scientist, biomedical|1948-01-08|566292083754|adults_50up_male_urban.json
041-69-8078|3596234199643387|Gerald|Allen|M|472 Estrada Lakes|Morrilton|AR|72110|35.1692|-92.7354|11498|Ship broker|1983-08-24|245826104860|adults_2550_male_urban.json
267-26-0570|3511587605457698|Michael|Porter|M|9453 Rasmussen Mews Suite 974|Encino|CA|91436|34.151|-118.4882|41270|Nurse, learning disability|1969-05-09|655962338361|adults_50up_male_urban.json
392-09-7060|4212545080951|Tammy|Giles|F|152 Carlson Islands Suite 966|Phillipsburg|MO|65722|37.5832|-92.7416|1909|Immigration officer|2002-02-08|493252252774|young_adults_female_rural.json
116-31-0222|30423591426141|Anthony|Contreras|M|893 Laura Estate Suite 145|Waterford|MI|48329|42.6877|-83.3879|71528|Insurance broker|1973-03-08|786895951902|adults_50up_male_urban.json
464-73-6761|4310081785221|Timothy|Miller|M|84523 Ochoa Shoals Suite 268|Cupertino|CA|95014|37.318|-122.0449|60717|Psychiatrist|1977-11-24|293173443659|adults_2550_male_urban.json
667-87-8161|502073208659|Sheri|Hoover|F|7729 Ross Islands|San Francisco|CA|94115|37.7856|-122.4358|805301|Optometrist|1954-02-23|211262141040|adults_50up_female_urban.json
004-15-4566|676305278100|Timothy|Richardson|M|02722 Kyle Island|Pleasanton|TX|78064|28.9924|-98.4831|14102|Psychologist, educational|2005-12-04|930558644123|young_adults_male_urban.json
